year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201402,3213,149,73,22,11,14,6,149
201402,3301,132,51,15,16,9,12,132
201402,3302,121,51,16,19,11,11,121
201402,3303,106,43,14,22,8,14,106
201402,3304,120,51,26,19,14,14,120
201402,3305,138,53,13,17,11,12,138
201402,3306,142,59,8,22,19,12,142
201402,3307,130,46,14,16,10,12,130
201402,3308,134,44,12,13,11,9,134
201402,3309,77,34,29,7,3,13,77
201402,3310,110,44,19,13,7,13,110
201402,3311,101,40,16,13,8,10,101
201402,3401,147,66,24,14,12,9,147
201402,3402,147,66,48,16,15,9,147
201402,3403,146,64,32,14,13,10,146
201402,3404,146,64,32,14,13,10,146
201402,3405,140,59,22,12,12,14,140
201402,3406,146,64,32,14,13,10,146
201402,3407,146,64,32,14,13,10,146
201402,3408,146,64,32,14,13,10,146
201402,3410,146,64,32,14,13,10,146
201402,3411,146,64,32,14,13,10,146
201402,3412,146,64,32,14,13,10,146
201402,3413,146,64,32,14,13,10,146
201402,3414,146,64,32,14,13,10,146
201402,3415,146,64,32,14,13,10,146
201402,3416,146,64,32,14,13,10,146
201402,3417,146,64,32,14,13,10,146
201402,3418,146,64,32,14,13,10,146
201402,3501,71,34,17,19,4,8,71
201402,3502,85,36,29,14,6,5,85
201402,3503,81,37,23,15,5,7,81
201402,3504,81,37,23,15,5,7,81
201402,3505,87,41,24,14,4,8,87
201402,3506,79,38,23,9,2,7,79
201402,3507,81,37,23,15,5,7,81
201402,3508,81,37,23,15,5,7,81
201402,3509,81,37,23,15,5,7,81
201402,3601,97,40,12,12,10,9,97
201402,3602,96,40,17,12,11,8,96
201402,3603,96,40,17,12,11,8,96
201402,3604,95,40,24,11,13,8,95
201402,3605,96,40,17,12,11,8,96
201402,3606,96,40,17,12,11,8,96
201402,3607,96,40,17,12,11,8,96
201402,3608,96,40,17,12,11,8,96
201402,3609,96,40,17,12,11,8,96
201402,3610,96,40,17,12,11,8,96
201402,3611,96,40,17,12,11,8,96
201402,3681,96,40,17,12,11,8,96
201402,3682,96,40,17,12,11,8,96
201402,3701,170,103,19,31,50,17,170
201402,3702,141,76,23,25,28,9,141
201402,3703,174,96,12,29,52,17,174
201402,3704,177,111,23,22,37,9,177
201402,3705,159,90,20,20,34,9,159
201402,3706,132,69,28,18,22,9,132
201402,3707,157,95,26,18,33,12,157
201402,3708,168,105,18,20,44,16,168
201402,3709,154,84,9,16,32,17,154
201402,3710,112,48,19,13,23,5,112
201402,3711,123,65,28,16,18,7,123
201402,3712,155,95,11,30,55,15,155
201402,3713,169,94,15,24,32,17,169
201402,3714,183,91,14,7,35,15,183
201402,3715,158,97,7,23,37,19,158
201402,3723,160,91,19,23,37,13,160
201402,3729,160,91,19,23,37,13,160
201402,4101,171,99,14,22,23,16,171
201402,4102,170,79,22,13,22,22,170
201402,4103,182,103,24,22,37,19,182
201402,4104,193,103,33,19,33,15,193
201402,4105,187,110,19,21,31,14,187
201402,4106,181,99,20,21,32,19,181
201402,4107,183,108,13,20,23,21,183
201402,4108,184,104,19,30,55,29,184
201402,4109,181,99,20,21,32,19,181
201402,4110,181,99,20,21,32,19,181
201402,4111,181,99,20,21,32,19,181
201402,4112,213,119,20,34,54,26,213
201402,4113,181,99,20,21,32,19,181
201402,4114,181,99,20,21,32,19,181
201402,4115,181,99,20,21,32,19,181
201402,4116,181,99,20,21,32,19,181
201402,4117,181,99,20,21,32,19,181
201402,4201,155,55,16,19,13,9,155
201402,4202,176,52,17,28,29,8,176
